@RELATION TEST1

@ATTRIBUTE mutationId NUMERIC
@ATTRIBUTE elementId NUMERIC
@ATTRIBUTE displayed {0,1}
@ATTRIBUTE height NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE top NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE activatorTop NUMERIC
@ATTRIBUTE activatorLeft NUMERIC
@ATTRIBUTE distanceTop NUMERIC
@ATTRIBUTE distanceLeft NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE numberElements NUMERIC
@ATTRIBUTE elements_per_size NUMERIC
@ATTRIBUTE numberWords NUMERIC
@ATTRIBUTE textNodes NUMERIC
@ATTRIBUTE words_per_textNodes NUMERIC
@ATTRIBUTE table {0,1}
@ATTRIBUTE list {0,1}
@ATTRIBUTE input {0,1}
@ATTRIBUTE widgetName {0,1}
@ATTRIBUTE date {0,1}
@ATTRIBUTE img {0,1}
@ATTRIBUTE proportionNumbers NUMERIC
@ATTRIBUTE links80percent NUMERIC
@ATTRIBUTE Result {0,1}

@DATA
13,220,1,465,999,305,557,460,347,186,0,0,141,0.00046275783980702000,91,91,1,0,0,0,0,0,1,0.0,0,1
176,651,1,251,1200,33,352,0,1462,0,1200,0,101,0.00255050505050505000,765,133,5.7518796992,0,1,0,0,0,0,0.0,0,1
29,43,1,485,311,40,1136,0,1393,0,311,0,72,0.00578778135048232000,495,77,6.4285714286,0,0,0,0,0,0,0.0,0,1
64,113,1,366,727,217,702,227,481,33,0,0,69,0.00043737599756590700,3888,131,29.679389313,0,1,0,0,0,1,0.0,0,1
6,236,1,189,172,79,1386,49,1385,0,85,0,21,0.00154548130703562000,11,11,1,0,0,0,0,0,0,0.0,0,1
18,64,1,360,755,299,552,593,352,331,0,0,121,0.00053600301224833300,662,220,3.0090909091,0,1,0,0,0,1,0.0,1,1
139,14,1,162,196,368,980,321,981,1,100,-1,36,0.00049911268855368200,776,37,20.972972973,0,1,0,1,0,0,0.0,0,1
72,1135,1,366,727,217,702,411,481,217,0,0,53,0.00033595547639120400,2803,98,28.6020408163,0,1,0,0,0,1,0.0,0,1
67,1111,1,366,727,217,702,296,481,102,0,0,58,0.00036764938925829900,3058,108,28.3148148148,0,1,0,0,0,1,0.0,0,1
190,1061,1,500,852,199,522,604,322,437,0,0,208,0.00122679123316111000,7867,385,20.4337662338,0,0,0,0,0,1,0.0,0,1
76,1115,1,366,727,217,702,503,481,309,0,0,52,0.00032961669381778500,3327,96,34.65625,0,1,0,0,0,1,0.0,0,1
18,0,1,227,972,147,457,111,742,1,473,-1,52,0.00036393158086279800,113,70,1.6142857143,0,1,0,0,0,0,0.0,0,1
34,24,1,295,1364,125,270,83,461,-1,247,-1,222,0.00130205278592375000,5178,415,12.4771084337,0,1,0,1,0,1,0.0,0,1
24,51,1,1256,220,97,780,406,561,340,-1,-1,31,0.00145267104029991000,15,11,1.3636363636,0,0,0,1,0,0,0.0,0,1
4,3,1,1234,220,97,661,189,442,123,-1,-1,28,0.00131208997188379000,25,10,2.5,0,0,0,1,0,0,0.0,0,1
7,0,1,96,180,80,1320,56,1320,-9,82,-9,8,0.00055555555555555600,298,15,19.8666666667,0,0,0,0,0,0,0.0,0,1
19,32,1,360,755,299,552,622,352,360,0,0,91,0.00040310970342643200,524,160,3.275,0,1,0,0,0,1,0.0,1,1
10,34,1,504,147,170,690,135,690,0,91,0,25,0.00100040016006403000,63,48,1.3125,0,0,0,1,0,0,0.0,0,1
16,49,1,1344,220,97,780,158,561,92,-1,-1,43,0.00201499531396439000,33,15,2.2,0,0,0,1,0,0,0.0,0,1
164,3,1,300,900,167,502,106,548,-25,105,-25,131,0.00087159015302727900,404,20,20.2,0,1,0,0,0,1,0.0,0,1
20,1,1,106,72,47,1777,19,1797,-4,46,-4,7,0.00206855791962175000,4,4,1,0,0,0,0,0,0,0.0,0,1
138,30,1,134,200,368,900,321,902,1,81,-1,45,0.00061141304347826100,914,45,20.3111111111,0,1,0,1,0,0,0.0,0,1
122,40,1,347,232,142,758,96,747,0,113,0,6,0.00018212724623603700,28,9,3.1111111111,0,0,0,1,0,0,0.0,0,1
216,144,1,360,755,299,552,506,352,244,0,0,112,0.00049613501960176300,625,202,3.0940594059,0,1,0,0,0,1,0.0,1,1
